ltlacd,ltlanm,ctycd,ctynm,mctycd,mctynm,cauthcd,cauthnm,rgncd,rgnnm,ctrycd,ctrynm
E07000198,Staffordshire Moorlands,E10000028,Staffordshire,,,,,E12000005,West Midlands,E92000001,England
E07000199,Tamworth,E10000028,Staffordshire,,,,,E12000005,West Midlands,E92000001,England
E07000200,Babergh,E10000029,Suffolk,,,,,E12000006,East of England,E92000001,England
E07000201,Forest Heath,E10000029,Suffolk,,,,,E12000006,East of England,E92000001,England
E07000202,Ipswich,E10000029,Suffolk,,,,,E12000006,East of England,E92000001,England
E07000203,Mid Suffolk,E10000029,Suffolk,,,,,E12000006,East of England,E92000001,England
E07000204,St Edmundsbury,E10000029,Suffolk,,,,,E12000006,East of England,E92000001,England
E07000205,Suffolk Coastal,E10000029,Suffolk,,,,,E12000006,East of England,E92000001,England
E07000206,Waveney,E10000029,Suffolk,,,,,E12000006,East of England,E92000001,England
E07000207,Elmbridge,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000208,Epsom and Ewell,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000209,Guildford,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000210,Mole Valley,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000211,Reigate and Banstead,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000212,Runnymede,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000213,Spelthorne,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000214,Surrey Heath,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000215,Tandridge,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000216,Waverley,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000217,Woking,E10000030,Surrey,,,,,E12000008,South East,E92000001,England
E07000218,North Warwickshire,E10000031,Warwickshire,,,,,E12000005,West Midlands,E92000001,England
E07000219,Nuneaton and Bedworth,E10000031,Warwickshire,,,,,E12000005,West Midlands,E92000001,England
E07000220,Rugby,E10000031,Warwickshire,,,,,E12000005,West Midlands,E92000001,England
E07000221,Stratford-on-Avon,E10000031,Warwickshire,,,,,E12000005,West Midlands,E92000001,England
E07000222,Warwick,E10000031,Warwickshire,,,,,E12000005,West Midlands,E92000001,England
E07000223,Adur,E10000032,West Sussex,,,,,E12000008,South East,E92000001,England
E07000224,Arun,E10000032,West Sussex,,,,,E12000008,South East,E92000001,England
E07000225,Chichester,E10000032,West Sussex,,,,,E12000008,South East,E92000001,England
E07000226,Crawley,E10000032,West Sussex,,,,,E12000008,South East,E92000001,England
E07000227,Horsham,E10000032,West Sussex,,,,,E12000008,South East,E92000001,England
E07000228,Mid Sussex,E10000032,West Sussex,,,,,E12000008,South East,E92000001,England
E07000229,Worthing,E10000032,West Sussex,,,,,E12000008,South East,E92000001,England
E07000234,Bromsgrove,E10000034,Worcestershire,,,,,E12000005,West Midlands,E92000001,England
E07000235,Malvern Hills,E10000034,Worcestershire,,,,,E12000005,West Midlands,E92000001,England
E07000236,Redditch,E10000034,Worcestershire,,,,,E12000005,West Midlands,E92000001,England
E07000237,Worcester,E10000034,Worcestershire,,,,,E12000005,West Midlands,E92000001,England
E07000238,Wychavon,E10000034,Worcestershire,,,,,E12000005,West Midlands,E92000001,England
E07000239,Wyre Forest,E10000034,Worcestershire,,,,,E12000005,West Midlands,E92000001,England
E07000240,St Albans,E10000015,Hertfordshire,,,,,E12000006,East of England,E92000001,England
E07000241,Welwyn Hatfield,E10000015,Hertfordshire,,,,,E12000006,East of England,E92000001,England
E07000242,East Hertfordshire,E10000015,Hertfordshire,,,,,E12000006,East of England,E92000001,England
E07000243,Stevenage,E10000015,Hertfordshire,,,,,E12000006,East of England,E92000001,England
E08000001,Bolton,,,E11000001,Greater Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England
E08000002,Bury,,,E11000001,Greater Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England
E08000003,Manchester,,,E11000001,Greater Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England
E08000004,Oldham,,,E11000001,Greater Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England
E08000005,Rochdale,,,E11000001,Greater Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England
E08000006,Salford,,,E11000001,Greater Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England
E08000007,Stockport,,,E11000001,Greater Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England
E08000008,Tameside,,,E11000001,Greater Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England
E08000009,Trafford,,,E11000001,Greater Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England
E08000010,Wigan,,,E11000001,Greater Manchester,E47000001,Greater Manchester,E12000002,North West,E92000001,England
E08000011,Knowsley,,,E11000002,Merseyside,E47000004,Liverpool City Region,E12000002,North West,E92000001,England
E08000012,Liverpool,,,E11000002,Merseyside,E47000004,Liverpool City Region,E12000002,North West,E92000001,England
E08000013,St. Helens,,,E11000002,Merseyside,E47000004,Liverpool City Region,E12000002,North West,E92000001,England
E08000014,Sefton,,,E11000002,Merseyside,E47000004,Liverpool City Region,E12000002,North West,E92000001,England
E08000015,Wirral,,,E11000002,Merseyside,E47000004,Liverpool City Region,E12000002,North West,E92000001,England
E08000016,Barnsley,,,E11000003,South Yorkshire,E47000002,Sheffield City Region,E12000003,Yorkshire and The Humber,E92000001,England
E08000017,Doncaster,,,E11000003,South Yorkshire,E47000002,Sheffield City Region,E12000003,Yorkshire and The Humber,E92000001,England
E08000018,Rotherham,,,E11000003,South Yorkshire,E47000002,Sheffield City Region,E12000003,Yorkshire and The Humber,E92000001,England
E08000019,Sheffield,,,E11000003,South Yorkshire,E47000002,Sheffield City Region,E12000003,Yorkshire and The Humber,E92000001,England
E08000021,Newcastle upon Tyne,,,E11000007,Tyne and Wear,E47000005,North East,E12000001,North East,E92000001,England
E08000022,North Tyneside,,,E11000007,Tyne and Wear,E47000005,North East,E12000001,North East,E92000001,England
E08000023,South Tyneside,,,E11000007,Tyne and Wear,E47000005,North East,E12000001,North East,E92000001,England
E08000024,Sunderland,,,E11000007,Tyne and Wear,E47000005,North East,E12000001,North East,E92000001,England
E08000025,Birmingham,,,E11000005,West Midlands,E47000007,West Midlands,E12000005,West Midlands,E92000001,England
E08000026,Coventry,,,E11000005,West Midlands,E47000007,West Midlands,E12000005,West Midlands,E92000001,England
E08000027,Dudley,,,E11000005,West Midlands,E47000007,West Midlands,E12000005,West Midlands,E92000001,England
E08000028,Sandwell,,,E11000005,West Midlands,E47000007,West Midlands,E12000005,West Midlands,E92000001,England
E08000029,Solihull,,,E11000005,West Midlands,E47000007,West Midlands,E12000005,West Midlands,E92000001,England
E08000030,Walsall,,,E11000005,West Midlands,E47000007,West Midlands,E12000005,West Midlands,E92000001,England
E08000031,Wolverhampton,,,E11000005,West Midlands,E47000007,West Midlands,E12000005,West Midlands,E92000001,England
E08000032,Bradford,,,E11000006,West Yorkshire,E47000003,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England
E08000033,Calderdale,,,E11000006,West Yorkshire,E47000003,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England
E08000034,Kirklees,,,E11000006,West Yorkshire,E47000003,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England
E08000035,Leeds,,,E11000006,West Yorkshire,E47000003,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England
E08000036,Wakefield,,,E11000006,West Yorkshire,E47000003,West Yorkshire,E12000003,Yorkshire and The Humber,E92000001,England
E08000037,Gateshead,,,E11000007,Tyne and Wear,E47000005,North East,E12000001,North East,E92000001,England
E09000001,City of London,,,,,,,E12000007,London,E92000001,England
E09000002,Barking and Dagenham,,,,,,,E12000007,London,E92000001,England
E09000003,Barnet,,,,,,,E12000007,London,E92000001,England
E09000004,Bexley,,,,,,,E12000007,London,E92000001,England
E09000005,Brent,,,,,,,E12000007,London,E92000001,England
E09000006,Bromley,,,,,,,E12000007,London,E92000001,England
E09000007,Camden,,,,,,,E12000007,London,E92000001,England
E09000008,Croydon,,,,,,,E12000007,London,E92000001,England
E09000009,Ealing,,,,,,,E12000007,London,E92000001,England
E09000010,Enfield,,,,,,,E12000007,London,E92000001,England
E09000011,Greenwich,,,,,,,E12000007,London,E92000001,England
E09000012,Hackney,,,,,,,E12000007,London,E92000001,England
E09000013,Hammersmith and Fulham,,,,,,,E12000007,London,E92000001,England
E09000014,Haringey,,,,,,,E12000007,London,E92000001,England
E09000015,Harrow,,,,,,,E12000007,London,E92000001,England
E09000016,Havering,,,,,,,E12000007,London,E92000001,England
E09000017,Hillingdon,,,,,,,E12000007,London,E92000001,England
E09000018,Hounslow,,,,,,,E12000007,London,E92000001,England
E09000019,Islington,,,,,,,E12000007,London,E92000001,England
E09000020,Kensington and Chelsea,,,,,,,E12000007,London,E92000001,England
E09000021,Kingston upon Thames,,,,,,,E12000007,London,E92000001,England
E09000022,Lambeth,,,,,,,E12000007,London,E92000001,England
E09000023,Lewisham,,,,,,,E12000007,London,E92000001,England
E09000024,Merton,,,,,,,E12000007,London,E92000001,England
E09000025,Newham,,,,,,,E12000007,London,E92000001,England
E09000026,Redbridge,,,,,,,E12000007,London,E92000001,England
E09000027,Richmond upon Thames,,,,,,,E12000007,London,E92000001,England
E09000028,Southwark,,,,,,,E12000007,London,E92000001,England
